painting,paintingLabel,artist,artistLabel,image,creationDate,artistBirthDate,artistDeathDate,movement,movementLabel
http://www.wikidata.org/entity/Q698015,Madonna del Garofano,http://www.wikidata.org/entity/Q762,Leonardo da Vinci,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20of%20the%20Carnation%20Leonardo%20da%20Vinci.jpg,1475-01-01T00:00:00Z,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,http://www.wikidata.org/entity/Q1404472,rinascimento italiano
http://www.wikidata.org/entity/Q680128,Cristo portacroce,http://www.wikidata.org/entity/Q130531,Hieronymus Bosch,http://commons.wikimedia.org/wiki/Special:FilePath/Kruisdraging%2C%20Hieronymus%20Bosch%2C%20ca.%201510%2C%20Koninklijk%20Museum%20voor%20Schone%20Kunsten%20Gent%2C%201902-H.jpg,1510-01-01T00:00:00Z,1450-01-01T00:00:00Z,1516-08-01T00:00:00Z,http://www.wikidata.org/entity/Q610877,Rinascimento nordico
http://www.wikidata.org/entity/Q658825,Continenza di Scipione,http://www.wikidata.org/entity/Q17169,Giovanni Bellini,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Bellini%20-%20Un%20episodio%20della%20vita%20di%20Publio%20Cornelio%20Scipione.jpg,1506-01-01T00:00:00Z,1430-01-01T00:00:00Z,1516-12-09T00:00:00Z,,
http://www.wikidata.org/entity/Q658825,Continenza di Scipione,http://www.wikidata.org/entity/Q17169,Giovanni Bellini,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Bellini%20-%20Un%20episodio%20della%20vita%20di%20Publio%20Cornelio%20Scipione.jpg,1506-01-01T00:00:00Z,1430-01-01T00:00:00Z,1516-11-29T00:00:00Z,,
http://www.wikidata.org/entity/Q658825,Continenza di Scipione,http://www.wikidata.org/entity/Q17169,Giovanni Bellini,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Bellini%20-%20Un%20episodio%20della%20vita%20di%20Publio%20Cornelio%20Scipione.jpg,1506-01-01T00:00:00Z,1430-01-01T00:00:00Z,1516-11-26T00:00:00Z,,
http://www.wikidata.org/entity/Q693746,Monaco in riva al mare,http://www.wikidata.org/entity/Q104884,Caspar David Friedrich,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20David%20Friedrich%20-%20Der%20M%C3%B6nch%20am%20Meer%20-%20Google%20Art%20Project.jpg,1800-01-01T00:00:00Z,1774-09-05T00:00:00Z,1840-05-07T00:00:00Z,http://www.wikidata.org/entity/Q2477112,Romanticismo tedesco
http://www.wikidata.org/entity/Q687182,Arrangiamento in Grigio e Nero No.1,http://www.wikidata.org/entity/Q203643,James Abbott McNeill Whistler,http://commons.wikimedia.org/wiki/Special:FilePath/Whistlers%20Mother%20high%20res.jpg,1871-01-01T00:00:00Z,1834-07-10T00:00:00Z,1903-07-17T00:00:00Z,http://www.wikidata.org/entity/Q1786363,Tonalismo (movimento artistico statunitense)
http://www.wikidata.org/entity/Q655705,I Musici,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Musicians%20MET%20DP-687-001.jpg,1595-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-07-18T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q666982,Ladro di nidi,http://www.wikidata.org/entity/Q43270,Pieter Bruegel il Vecchio,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20d.%20%C3%84.%20036.jpg,1568-01-01T00:00:00Z,1525-01-01T00:00:00Z,1569-09-19T00:00:00Z,,
http://www.wikidata.org/entity/Q666982,Ladro di nidi,http://www.wikidata.org/entity/Q43270,Pieter Bruegel il Vecchio,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20d.%20%C3%84.%2C%20%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Bauer%20und%20Vogeldieb%20-%20GG%201020%20-%20Kunsthistorisches%20Museum.jpg,1568-01-01T00:00:00Z,1525-01-01T00:00:00Z,1569-09-19T00:00:00Z,,
http://www.wikidata.org/entity/Q650635,The Merry Drinker,http://www.wikidata.org/entity/Q167654,Frans Hals,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Hals%20002.jpg,1629-01-01T00:00:00Z,1591-01-01T00:00:00Z,1666-08-26T00:00:00Z,,
http://www.wikidata.org/entity/Q641666,Donna che scrive una lettera alla presenza della domestica,http://www.wikidata.org/entity/Q41264,Jan Vermeer,http://commons.wikimedia.org/wiki/Special:FilePath/Woman%20writing%20a%20letter%2C%20with%20her%20maid%2C%20by%20Johannes%20Vermeer.jpg,1670-01-01T00:00:00Z,1632-10-01T00:00:00Z,1675-12-15T00:00:00Z,http://www.wikidata.org/entity/Q2352880,pittura del Secolo d'oro olandese
http://www.wikidata.org/entity/Q611583,Minerva protegge la Pace da Marte,http://www.wikidata.org/entity/Q5599,Pieter Paul Rubens,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%20peace-war.jpg,1629-01-01T00:00:00Z,1577-07-08T00:00:00Z,1640-05-30T00:00:00Z,,
http://www.wikidata.org/entity/Q688870,Adorazione della Santissima Trinità,http://www.wikidata.org/entity/Q5580,Albrecht Dürer,http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%20-%20Adoration%20of%20the%20Trinity%20%28Landauer%20Altar%29%20-%20Google%20Art%20Project.jpg,1511-01-01T00:00:00Z,1471-05-30T00:00:00Z,1528-04-16T00:00:00Z,http://www.wikidata.org/entity/Q2455000,rinascimento tedesco
http://www.wikidata.org/entity/Q646337,Notturno in nero e oro - Il razzo cadente,http://www.wikidata.org/entity/Q203643,James Abbott McNeill Whistler,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Abbott%20McNeill%20Whistler%20-%20Nocturne%20in%20Black%20and%20Gold%2C%20the%20Falling%20Rocket%20-%2046.309%20-%20Detroit%20Institute%20of%20Arts.jpg,1875-01-01T00:00:00Z,1834-07-10T00:00:00Z,1903-07-17T00:00:00Z,http://www.wikidata.org/entity/Q1786363,Tonalismo (movimento artistico statunitense)
http://www.wikidata.org/entity/Q698487,Il bacio,http://www.wikidata.org/entity/Q34661,Gustav Klimt,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Kiss%20-%20Gustav%20Klimt%20-%20Google%20Cultural%20Institute.jpg,1907-01-01T00:00:00Z,1862-07-14T00:00:00Z,1918-02-06T00:00:00Z,http://www.wikidata.org/entity/Q164800,simbolismo
http://www.wikidata.org/entity/Q661378,Lezione di anatomia del dottor Nicolaes Tulp,http://www.wikidata.org/entity/Q5598,Rembrandt,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20van%20Rijn%20-%20The%20Anatomy%20Lesson%20of%20Dr%20Nicolaes%20Tulp%20-%20146%20-%20Mauritshuis.jpg,1632-01-01T00:00:00Z,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q650635,The Merry Drinker,http://www.wikidata.org/entity/Q167654,Frans Hals,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Hals%20002.jpg,1629-01-01T00:00:00Z,1582-01-01T00:00:00Z,1666-08-26T00:00:00Z,,
http://www.wikidata.org/entity/Q699319,Autoritratto entro uno specchio convesso,http://www.wikidata.org/entity/Q9348,Parmigianino,http://commons.wikimedia.org/wiki/Special:FilePath/Parmigianino%20Selfportrait.jpg,1523-01-01T00:00:00Z,1503-01-21T00:00:00Z,1540-09-03T00:00:00Z,http://www.wikidata.org/entity/Q131808,manierismo
http://www.wikidata.org/entity/Q650086,Balaam e la sua asina,http://www.wikidata.org/entity/Q5598,Rembrandt,http://commons.wikimedia.org/wiki/Special:FilePath/P1150002%20Cognacq-Jay%20Rembrandt%20anesse%20de%20Balaam%20rwk.jpg,1626-01-01T00:00:00Z,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,http://www.wikidata.org/entity/Q2352880,pittura del Secolo d'oro olandese
http://www.wikidata.org/entity/Q645120,Three Persons Viewing the Gladiator by Candlelight,http://www.wikidata.org/entity/Q214062,Joseph Wright of Derby,http://commons.wikimedia.org/wiki/Special:FilePath/Three%20Persons%20Viewing%20the%20Gladiator%20by%20Candlelight.jpg,1765-01-01T00:00:00Z,1734-09-03T00:00:00Z,1797-08-29T00:00:00Z,http://www.wikidata.org/entity/Q37068,romanticismo
http://www.wikidata.org/entity/Q647202,Medusa,http://www.wikidata.org/entity/Q5599,Pieter Paul Rubens,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%20Medusa.jpeg,1618-01-01T00:00:00Z,1577-07-08T00:00:00Z,1640-05-30T00:00:00Z,http://www.wikidata.org/entity/Q1994273,pittura fiamminga barocca
http://www.wikidata.org/entity/Q688870,Adorazione della Santissima Trinità,http://www.wikidata.org/entity/Q5580,Albrecht Dürer,http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%2C%20%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Allerheiligenbild%20%28%22Landauer%20Altar%22%29%20-%20GG%20838%20-%20Kunsthistorisches%20Museum.jpg,1511-01-01T00:00:00Z,1471-05-30T00:00:00Z,1528-04-16T00:00:00Z,http://www.wikidata.org/entity/Q2455000,rinascimento tedesco
http://www.wikidata.org/entity/Q650526,Landscape with a Carriage and a Train,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Landscape%20with%20Carriage%20and%20Train%20in%20the%20Background%20%281890%29.jpg,1890-01-01T00:00:00Z,1853-03-30T00:00:00Z,1890-07-29T00:00:00Z,,
http://www.wikidata.org/entity/Q648068,Madonna del Pergolato di rose,http://www.wikidata.org/entity/Q155575,Martin Schongauer,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Schongauer%20Madonna%20in%20Rose%20Garden.jpg,1473-01-01T00:00:00Z,1450-01-01T00:00:00Z,1491-02-11T00:00:00Z,http://www.wikidata.org/entity/Q4692,Rinascimento
http://www.wikidata.org/entity/Q626791,San Girolamo in meditazione,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Jerome%20in%20Meditation-Caravaggio%20%281606%29.jpg,1600-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-01-01T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q618901,Apollo with the Hours,http://www.wikidata.org/entity/Q215590,Georg Friedrich Kersting,http://commons.wikimedia.org/wiki/Special:FilePath/Kersting%20-%20Apoll%20mit%20den%20Stunden.jpg,1822-01-01T00:00:00Z,1785-10-31T00:00:00Z,1847-07-01T00:00:00Z,,
http://www.wikidata.org/entity/Q680128,Cristo portacroce,http://www.wikidata.org/entity/Q130531,Hieronymus Bosch,http://commons.wikimedia.org/wiki/Special:FilePath/Kruisdraging%2C%20Hieronymus%20Bosch%2C%20ca.%201510%2C%20Koninklijk%20Museum%20voor%20Schone%20Kunsten%20Gent%2C%201902-H.jpg,1510-01-01T00:00:00Z,1450-01-01T00:00:00Z,1516-08-01T00:00:00Z,http://www.wikidata.org/entity/Q443153,primitivi fiamminghi
http://www.wikidata.org/entity/Q618901,Apollo with the Hours,http://www.wikidata.org/entity/Q215590,Georg Friedrich Kersting,http://commons.wikimedia.org/wiki/Special:FilePath/Kersting%20-%20Apoll%20mit%20den%20Stunden.jpg,1822-01-01T00:00:00Z,1785-10-22T00:00:00Z,1847-07-01T00:00:00Z,,
http://www.wikidata.org/entity/Q690637,Natura morta con Bibbia,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,http://commons.wikimedia.org/wiki/Special:FilePath/Still%20life%20with%20Bible.jpg,1885-01-01T00:00:00Z,1853-03-30T00:00:00Z,1890-07-29T00:00:00Z,,
http://www.wikidata.org/entity/Q690637,Natura morta con Bibbia,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Stillleben%20mit%20Bibel.jpeg,1885-01-01T00:00:00Z,1853-03-30T00:00:00Z,1890-07-29T00:00:00Z,,
